Date,Portfolio_Value
2023-11-02,207666.3182241951
2023-11-03,207666.3182241951
2023-11-06,208321.9774297417
2023-11-07,201961.43105213222
2023-11-08,202415.88710262417
2023-11-09,204392.39411404077
2023-11-10,201004.93211113097
2023-11-13,201056.43372342765
2023-11-14,199755.52512434512
2023-11-15,194708.54642652045
2023-11-16,195616.59862805452
2023-11-17,189157.49337179336
2023-11-20,190116.4363148497
2023-11-21,188478.89235896483
2023-11-22,188721.3854838739
2023-11-24,189806.0780336404
2023-11-27,191543.64229897998
2023-11-28,193603.90935487876
2023-11-29,193254.95618277785
2023-11-30,193533.01384627496
2023-12-01,191525.98443431855
2023-12-04,195090.1028382023
2023-12-05,194431.86974360252
2023-12-06,195115.1331915055
2023-12-07,191381.98365034306
2023-12-08,189778.79087579064
2023-12-11,186926.50295448062
2023-12-12,189439.78992447758
2023-12-13,191252.96759773593
2023-12-14,192677.41020116565
2023-12-15,193383.8263742034
2023-12-18,189851.84900325586
2023-12-19,187469.08033268622
2023-12-20,187389.0210558079
2023-12-21,183930.01546378987
2023-12-22,184067.44618232138
2023-12-26,188066.66988538537
2023-12-27,188673.25090591155
2023-12-28,189713.10333195454
2023-12-29,190669.99318636948
2024-01-02,194225.44256455547
2024-01-03,195215.22143378216
2024-01-04,195798.83162224927
2024-01-05,194888.89346992693
2024-01-08,192096.93560601227
2024-01-09,189556.8235959638
2024-01-10,189468.57123862227
2024-01-11,190764.0759498991
2024-01-12,192251.12431645495
2024-01-16,191674.94763137845
2024-01-17,191165.69337744094
2024-01-18,190040.9440173524
2024-01-19,191883.4727540467
2024-01-22,194856.42722275012
2024-01-23,178846.03872737274
2024-01-24,175567.86727941417
2024-01-25,175210.46943918793
2024-01-26,175562.56955270944
2024-01-29,174112.2487803511
2024-01-30,175486.33560838294
2024-01-31,177036.2487599666
2024-02-01,175850.38833920463
2024-02-02,175114.76404226743
2024-02-05,172102.09512318784
2024-02-06,171426.2041639266
2024-02-07,170889.6402054594
2024-02-08,165481.36765309342
2024-02-09,191270.70451123168
2024-02-12,191270.70451123166
2024-02-13,191270.70451123166
2024-02-14,191270.70451123166
2024-02-15,191270.70451123166
2024-02-16,191270.70451123166
